[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4] t=10s target=15k/s gen=48,525 (4852/s) emit=48,525 (4852/s) drop=0 (0.0%) q=0
[Source-4] t=20s target=15k/s gen=86,025 (3750/s) emit=86,025 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=31s target=15k/s gen=123,525 (3550/s) emit=123,525 (3550/s) drop=0 (0.0%) q=0
[Source-4] t=41s target=15k/s gen=161,025 (3750/s) emit=161,025 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=51s target=15k/s gen=198,525 (3750/s) emit=198,525 (3750/s) drop=0 (0.0%) q=0
[Source-4/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4] t=61s target=15k/s gen=204,825 (630/s) emit=204,825 (630/s) drop=0 (0.0%) q=0
[Source-4] t=10s target=15k/s gen=48,450 (4845/s) emit=48,450 (4845/s) drop=0 (0.0%) q=0
[Source-4] t=20s target=15k/s gen=85,950 (3750/s) emit=85,950 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=30s target=15k/s gen=123,450 (3750/s) emit=123,450 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=40s target=15k/s gen=160,950 (3750/s) emit=160,950 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=50s target=15k/s gen=198,450 (3750/s) emit=198,450 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=60s target=15k/s gen=235,950 (3750/s) emit=235,950 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=70s target=15k/s gen=273,450 (3750/s) emit=273,450 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=80s target=15k/s gen=310,950 (3750/s) emit=310,950 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=90s target=15k/s gen=348,450 (3750/s) emit=348,450 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=100s target=90k/s gen=398,325 (4987/s) emit=398,325 (4987/s) drop=0 (0.0%) q=0
[Source-4] t=110s target=90k/s gen=623,325 (22500/s) emit=571,364 (17304/s) drop=12,194 (2.0%) q=39766
[Source-4] t=120s target=90k/s gen=848,325 (22500/s) emit=681,420 (11006/s) drop=123,541 (14.6%) q=43363
[Source-4/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4] t=130s target=90k/s gen=902,775 (5444/s) emit=707,621 (2620/s) drop=150,154 (16.6%) q=44999
[Source-4] t=10s target=15k/s gen=48,825 (4883/s) emit=48,825 (4883/s) drop=0 (0.0%) q=0
[Source-4] t=20s target=15k/s gen=86,325 (3750/s) emit=86,325 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=30s target=15k/s gen=123,825 (3750/s) emit=123,825 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=40s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=50s target=15k/s gen=198,825 (3750/s) emit=198,825 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=60s target=15k/s gen=236,325 (3750/s) emit=236,325 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=70s target=15k/s gen=273,825 (3750/s) emit=273,825 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=80s target=15k/s gen=311,325 (3750/s) emit=311,325 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=90s target=15k/s gen=348,825 (3750/s) emit=348,825 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=100s target=90k/s gen=396,075 (4725/s) emit=396,075 (4725/s) drop=0 (0.0%) q=0
[Source-4] t=110s target=90k/s gen=621,075 (22500/s) emit=621,075 (22500/s) drop=0 (0.0%) q=0
[Source-4] t=120s target=90k/s gen=846,075 (22500/s) emit=809,816 (18874/s) drop=0 (0.0%) q=36258
[Source-4/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4] t=130s target=90k/s gen=898,275 (5219/s) emit=846,507 (3669/s) drop=6,767 (0.8%) q=45000
[Source-4] t=10s target=15k/s gen=48,675 (4868/s) emit=48,675 (4868/s) drop=0 (0.0%) q=0
[Source-4] t=20s target=15k/s gen=86,175 (3750/s) emit=86,175 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=31s target=15k/s gen=123,675 (3563/s) emit=123,675 (3563/s) drop=0 (0.0%) q=0
[Source-4/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4] t=41s target=15k/s gen=149,325 (2565/s) emit=149,325 (2565/s) drop=0 (0.0%) q=0
[Source-4] t=10s target=15k/s gen=48,825 (4883/s) emit=48,825 (4883/s) drop=0 (0.0%) q=0
[Source-4] t=20s target=15k/s gen=86,400 (3758/s) emit=86,400 (3758/s) drop=0 (0.0%) q=0
[Source-4] t=31s target=15k/s gen=123,900 (3283/s) emit=123,900 (3283/s) drop=0 (0.0%) q=0
[Source-4] t=41s target=15k/s gen=161,400 (3750/s) emit=161,400 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=51s target=15k/s gen=198,900 (3750/s) emit=198,900 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=61s target=15k/s gen=236,400 (3750/s) emit=236,400 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=71s target=15k/s gen=273,900 (3750/s) emit=273,900 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=81s target=15k/s gen=311,400 (3750/s) emit=311,400 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=91s target=15k/s gen=348,900 (3750/s) emit=348,900 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=101s target=90k/s gen=429,900 (8100/s) emit=429,900 (8100/s) drop=0 (0.0%) q=0
[Source-4] t=111s target=90k/s gen=654,900 (22500/s) emit=654,900 (22500/s) drop=0 (0.0%) q=0
[Source-4] t=121s target=90k/s gen=879,900 (22500/s) emit=829,924 (17502/s) drop=6,011 (0.7%) q=43964
[Source-4] t=131s target=90k/s gen=1,104,900 (23822/s) emit=1,002,890 (18313/s) drop=61,193 (5.5%) q=40816
[Source-4] t=141s target=90k/s gen=1,329,900 (22500/s) emit=1,160,176 (15729/s) drop=130,250 (9.8%) q=39473
[Source-4] t=151s target=90k/s gen=1,554,900 (22498/s) emit=1,333,137 (17294/s) drop=176,762 (11.4%) q=45000
[Source-4] t=160s target=90k/s gen=1,779,900 (23868/s) emit=1,506,098 (18347/s) drop=228,930 (12.9%) q=44871
[Source-4] t=170s target=90k/s gen=2,004,900 (22500/s) emit=1,663,604 (15751/s) drop=300,180 (15.0%) q=41115
[Source-4] t=180s target=90k/s gen=2,229,900 (22498/s) emit=1,836,565 (17294/s) drop=348,334 (15.6%) q=45000
[Source-4] t=190s target=90k/s gen=2,454,900 (24051/s) emit=2,009,531 (18489/s) drop=406,800 (16.6%) q=38568
[Source-4] t=200s target=15k/s gen=2,657,775 (20285/s) emit=2,166,802 (15726/s) drop=456,400 (17.2%) q=34572
[Source-4] t=210s target=15k/s gen=2,695,275 (3750/s) emit=2,238,875 (7207/s) drop=456,400 (16.9%) q=0
[Source-4] t=220s target=15k/s gen=2,732,775 (3750/s) emit=2,276,375 (3750/s) drop=456,400 (16.7%) q=0
[Source-4] t=229s target=15k/s gen=2,770,275 (4026/s) emit=2,313,875 (4026/s) drop=456,400 (16.5%) q=0
[Source-4] t=239s target=15k/s gen=2,807,775 (3750/s) emit=2,351,375 (3750/s) drop=456,400 (16.3%) q=0
[Source-4] t=249s target=15k/s gen=2,845,275 (3750/s) emit=2,388,875 (3750/s) drop=456,400 (16.0%) q=0
[Source-4] t=258s target=15k/s gen=2,882,775 (4000/s) emit=2,426,375 (4000/s) drop=456,400 (15.8%) q=0
[Source-4] t=268s target=15k/s gen=2,920,275 (3750/s) emit=2,463,875 (3750/s) drop=456,400 (15.6%) q=0
