[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=68s target=15k/s gen=273,750 (3750/s) emit=273,750 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=78s target=15k/s gen=311,250 (3750/s) emit=311,250 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=88s target=15k/s gen=348,750 (4057/s) emit=348,750 (4057/s) drop=0 (0.0%) q=0
[Source-2] t=98s target=15k/s gen=386,250 (3750/s) emit=386,250 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=108s target=90k/s gen=579,375 (19311/s) emit=493,776 (10752/s) drop=43,582 (7.5%) q=42016
[Source-2] t=117s target=90k/s gen=804,375 (24267/s) emit=551,431 (6218/s) drop=213,147 (26.5%) q=39796
[Source-2] t=127s target=90k/s gen=1,029,825 (22545/s) emit=624,804 (7337/s) drop=360,020 (35.0%) q=45000
[Source-2] t=137s target=90k/s gen=1,254,825 (22500/s) emit=692,961 (6816/s) drop=516,863 (41.2%) q=45000
[Source-2] t=146s target=90k/s gen=1,479,825 (24422/s) emit=761,097 (7396/s) drop=673,727 (45.5%) q=45000
[Source-2] t=156s target=90k/s gen=1,704,825 (22500/s) emit=829,222 (6813/s) drop=830,602 (48.7%) q=45000
[Source-2] t=166s target=90k/s gen=1,929,825 (22498/s) emit=897,396 (6817/s) drop=987,428 (51.2%) q=45000
[Source-2] t=175s target=90k/s gen=2,154,825 (24277/s) emit=970,767 (7917/s) drop=1,140,691 (52.9%) q=43366
[Source-2] t=185s target=90k/s gen=2,379,825 (22500/s) emit=1,033,657 (6289/s) drop=1,301,167 (54.7%) q=45000
[Source-2] t=195s target=90k/s gen=2,604,825 (22500/s) emit=1,107,062 (7341/s) drop=1,452,762 (55.8%) q=45000
[Source-2] t=205s target=15k/s gen=2,704,950 (10011/s) emit=1,175,200 (6813/s) drop=1,507,091 (55.7%) q=22658
[Source-2] t=215s target=15k/s gen=2,742,450 (4055/s) emit=1,235,359 (6505/s) drop=1,507,091 (55.0%) q=0
[Source-2] t=225s target=15k/s gen=2,779,950 (3750/s) emit=1,272,859 (3750/s) drop=1,507,091 (54.2%) q=0
